id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup
1,GP,1,18,U,,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no
2,GP,1,17,U,,T,1,1,at_home,other,,father,1,2,0,no,yes
3,GP,1,15,U,,T,1,1,at_home,other,other,mother,1,2,3,yes,no
4,GP,1,15,U,GT3,T,4,2,health,services,,mother,1,3,0,no,yes
5,GP,1,16,U,GT3,T,3,3,other,other,,father,1,2,0,no,yes
6,GP,M,16,U,LE3,T,4,3,services,other,,mother,1,2,0,no,yes
7,GP,M,16,U,LE3,T,2,2,other,other,,mother,1,2,0,no,no
8,GP,1,17,U,,A,4,4,other,teacher,,mother,2,2,0,yes,yes
9,GP,M,15,U,,A,3,2,services,other,,mother,1,2,0,no,yes
10,GP,M,15,U,,T,3,4,other,other,,mother,1,2,0,no,yes
11,GP,1,15,U,,T,4,4,teacher,health,,mother,1,2,0,no,yes
12,GP,1,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes
13,GP,M,15,U,,T,4,4,health,services,course,father,1,1,0,no,yes
14,GP,M,15,U,,T,4,3,teacher,other,,mother,2,2,0,no,yes
15,GP,M,15,U,GT3,A,2,2,other,other,,other,1,3,0,no,yes
16,GP,1,16,U,,T,4,4,health,other,,mother,1,1,0,no,yes
17,GP,1,16,U,,T,4,4,services,services,,mother,1,3,0,no,yes
18,GP,1,16,U,GT3,T,3,3,other,other,,mother,3,2,0,yes,yes
19,GP,M,17,U,GT3,T,3,2,services,services,,mother,1,1,3,no,yes
20,GP,M,16,U,LE3,T,4,3,health,other,,father,1,1,0,no,no
21,GP,M,15,U,GT3,T,4,3,teacher,other,,mother,1,2,0,no,no
22,GP,M,15,U,GT3,T,4,4,health,health,,father,1,1,0,no,yes
23,GP,M,16,U,,T,4,2,teacher,other,,mother,1,2,0,no,no
24,GP,M,16,U,LE3,T,2,2,other,other,,mother,2,2,0,no,yes
25,GP,1,15,R,,T,2,4,services,health,,mother,1,3,0,yes,yes
26,GP,1,16,U,,T,2,2,services,services,,mother,1,1,2,no,yes
27,GP,M,15,U,,T,2,2,other,other,,mother,1,1,0,no,yes
28,GP,M,15,U,,T,4,2,health,services,,mother,1,1,0,no,no
29,GP,M,16,U,LE3,A,3,4,services,other,,mother,1,2,0,yes,yes
30,GP,M,16,U,,T,4,4,teacher,teacher,,mother,1,2,0,no,yes
31,GP,M,15,U,GT3,T,4,4,health,services,,mother,1,2,0,no,yes
32,GP,M,15,U,,T,4,4,services,services,,mother,2,2,0,no,yes
33,GP,M,15,R,,T,4,3,teacher,at_home,,mother,1,2,0,no,yes
34,GP,M,15,U,,T,3,3,other,other,course,mother,1,2,0,no,no
35,GP,M,16,U,,T,3,2,other,other,,mother,1,1,0,no,yes
36,GP,1,15,U,GT3,T,2,3,other,other,,father,2,1,0,no,yes
37,GP,M,15,U,,T,4,3,teacher,services,,mother,1,3,0,no,yes
38,GP,M,16,R,,A,4,4,other,teacher,,mother,2,3,0,no,yes
39,GP,1,15,R,,T,3,4,services,health,course,mother,1,3,0,yes,yes
40,GP,1,15,R,,T,2,2,at_home,other,,mother,1,1,0,yes,yes
41,GP,1,16,U,,T,2,2,other,other,,mother,2,2,1,no,yes
42,GP,M,15,U,LE3,T,4,4,teacher,other,,other,1,1,0,no,yes
43,GP,M,15,U,,T,4,4,services,teacher,,father,1,2,0,no,yes
44,GP,M,15,U,,T,2,2,services,services,,father,1,1,0,yes,yes
45,GP,1,16,U,LE3,T,2,2,other,at_home,,father,2,2,1,yes,no
46,GP,1,15,U,LE3,A,4,3,other,other,,mother,1,2,0,yes,yes
47,GP,1,16,U,,A,3,3,other,services,home,mother,1,2,0,no,yes
48,GP,M,16,U,,T,4,3,health,services,,mother,1,4,0,no,no
49,GP,M,15,U,,T,4,2,teacher,other,,mother,1,2,0,no,yes
50,GP,1,15,U,GT3,T,4,4,services,teacher,,father,1,2,1,yes,yes
51,GP,1,16,U,,T,2,2,services,services,,mother,3,2,0,no,yes
52,GP,1,15,U,,T,4,2,health,other,,mother,1,2,0,no,yes
53,GP,M,15,U,LE3,A,4,2,health,health,,father,2,1,1,no,no
54,GP,1,15,U,,T,4,4,services,services,,mother,1,1,0,yes,yes
55,GP,1,15,U,,A,3,3,other,other,,mother,1,1,0,no,no
56,GP,1,16,U,,A,2,1,other,other,,mother,1,2,0,no,no
57,GP,1,15,U,,A,4,3,services,services,,mother,1,2,0,no,yes
58,GP,M,15,U,GT3,T,4,4,teacher,health,,mother,1,2,0,no,yes
59,GP,M,15,U,,T,1,2,other,at_home,,father,1,2,0,yes,yes
60,GP,1,16,U,,T,4,2,services,other,course,mother,1,2,0,no,yes
61,GP,1,16,R,GT3,T,4,4,health,teacher,,mother,1,2,0,no,yes
62,GP,1,16,U,,T,1,1,services,services,course,father,4,1,0,yes,yes
63,GP,1,16,U,,T,1,2,other,services,,father,1,2,0,yes,no
64,GP,1,16,U,,T,4,3,teacher,health,,mother,1,3,0,yes,yes
65,GP,1,15,U,,T,4,3,services,services,,father,1,2,0,yes,no
66,GP,1,16,U,LE3,T,4,3,teacher,services,,mother,3,2,0,no,yes
67,GP,M,15,U,,A,4,4,other,services,,mother,1,4,0,no,yes
68,GP,1,16,U,,T,3,1,services,other,,mother,1,4,0,yes,yes
69,GP,1,15,R,,T,2,2,health,services,,mother,2,2,0,yes,yes
70,GP,1,15,R,,T,3,1,other,other,,father,2,4,0,no,yes
71,GP,M,16,U,,T,3,1,other,other,,father,2,4,0,no,yes
72,GP,M,15,U,,T,4,2,other,other,course,mother,1,4,0,no,no
73,GP,1,15,R,,T,1,1,other,other,,mother,1,2,2,yes,yes
74,GP,M,16,U,,T,3,1,other,other,reputation,mother,1,1,0,no,no
75,GP,1,16,U,,T,3,3,other,services,home,mother,1,2,0,yes,yes
76,GP,M,15,U,,T,4,3,teacher,other,home,mother,1,2,0,no,yes
77,GP,M,15,U,GT3,T,4,0,teacher,other,,mother,2,4,0,no,no
78,GP,1,16,U,,T,2,2,other,other,,mother,1,4,0,no,no
79,GP,M,17,U,,T,2,1,other,other,,mother,2,1,3,yes,yes
80,GP,1,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes
81,GP,M,15,U,GT3,T,2,3,other,services,,father,1,1,0,yes,yes
82,GP,M,15,U,GT3,T,2,3,other,other,,mother,1,3,0,yes,no
83,GP,1,15,U,LE3,T,3,2,services,other,,mother,1,2,0,no,yes
84,GP,M,15,U,LE3,T,2,2,services,services,,mother,2,2,0,no,no
85,GP,1,15,U,GT3,T,1,1,other,other,,father,1,2,0,no,yes
86,GP,1,15,U,,T,4,4,services,services,,father,2,2,2,no,no
87,GP,1,16,U,,T,2,2,at_home,other,,mother,1,2,0,no,yes
88,GP,1,15,U,,T,4,2,other,other,reputation,mother,1,3,0,no,yes
89,GP,M,16,U,GT3,T,2,2,services,other,,father,2,2,1,no,no
90,GP,M,16,U,,A,4,4,teacher,health,,mother,1,2,0,no,yes
91,GP,1,16,U,GT3,T,3,3,other,other,,mother,1,3,0,no,yes
92,GP,1,15,U,,T,4,3,services,other,,mother,1,1,0,no,no
93,GP,1,16,U,,T,3,1,other,other,,father,1,2,0,yes,yes
94,GP,1,16,U,GT3,T,4,2,teacher,services,,mother,2,2,0,no,yes
95,GP,M,15,U,LE3,T,2,2,services,health,,mother,1,4,0,no,yes
96,GP,1,15,R,,T,1,1,at_home,other,,mother,2,4,1,yes,yes
97,GP,M,16,R,GT3,T,4,3,services,other,,mother,2,1,0,yes,yes
98,GP,1,16,U,,T,2,1,other,other,,mother,1,2,0,no,yes
99,GP,1,16,U,,T,4,4,other,other,,mother,1,1,0,no,no
100,GP,1,16,U,GT3,T,4,3,other,at_home,,mother,1,3,0,yes,yes
101,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes
102,GP,M,16,U,,T,4,4,services,teacher,,father,1,3,0,no,yes
103,GP,M,15,U,,T,4,4,services,other,course,mother,1,1,0,no,yes
104,GP,1,15,U,,T,3,2,services,other,,mother,2,2,0,yes,yes
105,GP,M,15,U,,A,3,4,services,other,course,mother,1,2,0,no,yes
106,GP,1,15,U,,A,3,3,other,health,,father,1,4,0,yes,no
107,GP,1,15,U,,T,2,2,other,other,,mother,1,4,0,yes,yes
108,GP,M,16,U,,T,3,3,services,other,,father,1,3,0,no,yes
109,GP,M,15,R,GT3,T,4,4,other,other,,father,4,4,0,no,yes
110,GP,1,16,U,,T,4,4,health,health,,mother,1,3,0,no,yes
111,GP,M,15,U,,A,4,4,teacher,teacher,,mother,1,1,0,no,no
112,GP,1,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes
113,GP,1,16,U,GT3,T,2,2,at_home,other,,mother,1,2,1,yes,no
114,GP,M,15,U,,T,4,2,teacher,other,,mother,1,1,0,no,no
115,GP,M,15,R,GT3,T,2,1,health,services,,mother,1,2,0,no,no
116,GP,M,16,U,,T,4,4,teacher,teacher,,father,1,2,0,no,yes
117,GP,M,15,U,,T,4,4,other,teacher,reputation,father,2,2,0,no,yes
118,GP,M,16,U,,T,3,3,other,services,,father,2,1,0,no,no
119,GP,M,17,R,,T,1,3,other,other,course,father,3,2,1,no,yes
120,GP,M,15,U,,T,3,4,other,other,,father,1,1,0,no,no
121,GP,1,15,U,GT3,T,1,2,at_home,services,,mother,1,2,0,no,no
122,GP,M,15,U,,T,2,2,services,services,home,father,1,4,0,no,yes
123,GP,1,16,U,,T,2,4,other,health,,father,2,2,0,no,yes
124,GP,M,16,U,,T,4,4,health,other,,mother,1,1,0,no,yes
125,GP,1,16,U,,T,2,2,other,other,,mother,1,2,0,no,no
126,GP,M,15,U,,T,3,4,services,services,,father,1,1,0,yes,no
127,GP,1,15,U,LE3,A,3,4,other,other,,mother,1,2,0,yes,no
128,GP,1,19,U,,T,0,1,at_home,other,,other,1,2,3,no,yes
129,GP,M,18,R,,T,2,2,services,other,,mother,1,1,2,no,yes
130,GP,M,16,R,GT3,T,4,4,teacher,teacher,,mother,1,1,0,no,no
131,GP,1,15,R,,T,3,4,services,teacher,,father,2,3,2,no,yes
132,GP,1,15,U,,T,1,1,at_home,other,course,mother,3,1,0,no,yes
133,GP,1,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes
134,GP,1,16,U,,A,3,4,services,other,,father,1,1,0,no,no
135,GP,M,15,R,,T,3,4,at_home,teacher,,mother,4,2,0,no,yes
136,GP,1,15,U,GT3,T,4,4,services,at_home,,mother,1,3,0,no,yes
137,GP,M,17,R,GT3,T,3,4,at_home,other,,mother,3,2,0,no,no
138,GP,1,16,U,,A,3,3,other,other,,other,2,1,2,no,yes
139,GP,M,16,U,,T,1,1,services,other,,mother,1,2,1,no,no
140,GP,1,15,U,,T,4,4,teacher,teacher,,mother,2,1,0,no,no
141,GP,M,15,U,,T,4,3,teacher,services,,father,2,4,0,yes,yes
142,GP,M,16,U,,T,2,2,services,services,,father,2,1,2,no,yes
143,GP,1,15,U,,T,4,4,teacher,services,,mother,1,3,0,no,yes
144,GP,1,16,U,LE3,T,1,1,at_home,at_home,,mother,1,1,0,no,no
145,GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,3,no,yes
146,GP,1,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes
147,GP,1,15,U,GT3,T,3,2,health,services,,father,1,2,3,no,yes
148,GP,1,15,U,GT3,T,1,2,at_home,other,,mother,1,2,0,no,yes
149,GP,M,16,U,,T,4,4,teacher,teacher,,mother,1,1,0,no,yes
150,GP,M,15,U,,A,2,1,services,other,course,mother,4,1,3,no,no
151,GP,M,18,U,LE3,T,1,1,other,other,,mother,1,1,3,no,no
152,GP,M,16,U,,T,2,1,at_home,other,,mother,1,1,1,no,no
153,GP,1,15,R,,T,3,3,services,services,,other,2,3,2,no,yes
154,GP,M,19,U,,T,3,2,services,at_home,,mother,1,1,3,no,yes
155,GP,1,17,U,,T,4,4,other,teacher,,mother,1,1,0,yes,yes
156,GP,M,15,R,,T,2,3,at_home,services,,mother,1,2,0,yes,no
157,GP,M,17,R,,T,1,2,other,other,,mother,1,1,0,no,no
158,GP,1,18,R,,T,1,1,at_home,other,,mother,3,1,3,no,yes
159,GP,M,16,R,GT3,T,2,2,at_home,other,,mother,3,1,0,no,no
160,GP,M,16,U,GT3,T,3,3,other,services,,father,1,2,1,no,yes
161,GP,M,17,R,,T,2,1,at_home,other,,mother,2,1,2,no,no
162,GP,M,15,R,GT3,T,3,2,other,other,,mother,2,2,2,yes,yes
163,GP,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,1,no,no
164,GP,M,17,U,,T,1,3,at_home,services,,father,1,1,0,no,no
165,GP,M,17,R,,T,1,1,other,services,,mother,4,2,3,no,no
166,GP,M,16,U,,T,3,2,services,services,,mother,2,1,1,no,yes
167,GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,no,no
168,GP,1,16,U,GT3,T,4,2,health,services,,father,1,2,0,no,no
169,GP,1,16,U,GT3,T,2,2,other,other,,mother,1,2,0,no,yes
170,GP,1,16,U,,T,4,4,health,health,,mother,1,2,0,no,yes
171,GP,M,16,U,,T,3,4,other,other,,father,3,1,2,no,yes
172,GP,M,16,U,GT3,T,1,0,other,other,,mother,2,2,0,no,yes
173,GP,M,17,U,LE3,T,4,4,teacher,other,,mother,1,2,0,no,yes
174,GP,1,16,U,,T,1,3,at_home,services,,mother,1,2,3,no,no
175,GP,1,16,U,,T,3,3,other,other,,mother,2,2,0,no,yes
176,GP,M,17,U,,T,4,3,teacher,other,course,mother,2,2,0,no,no
177,GP,1,16,U,,T,2,2,services,other,,mother,2,2,0,no,no
178,GP,M,17,U,GT3,T,3,3,other,other,,father,1,2,0,no,no
179,GP,M,16,R,,T,4,2,teacher,services,,mother,1,1,0,no,yes
180,GP,M,17,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes
181,GP,M,16,U,,T,4,3,teacher,other,,mother,1,2,0,no,yes
182,GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no
183,GP,1,17,U,,T,2,4,services,services,,father,1,2,0,no,yes
184,GP,1,17,U,LE3,T,3,3,other,other,,mother,1,2,0,no,yes
185,GP,1,16,U,GT3,T,3,2,other,other,,mother,1,2,0,no,yes
186,GP,M,17,U,,T,3,3,services,services,,mother,1,2,0,no,yes
187,GP,M,16,U,,T,1,2,services,services,,mother,1,1,0,no,yes
188,GP,M,16,U,,T,2,1,other,other,course,mother,1,2,0,no,no
189,GP,1,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,no,yes
190,GP,M,17,R,GT3,T,1,2,at_home,other,home,mother,1,2,0,no,no
191,GP,1,16,U,,T,2,3,services,services,,mother,1,2,0,no,no
192,GP,1,17,U,GT3,T,1,1,at_home,services,,mother,1,2,0,no,no
193,GP,M,17,U,,T,1,2,at_home,services,,other,2,2,0,no,no
194,GP,M,16,R,GT3,T,3,3,services,services,,mother,1,1,0,no,yes
195,GP,M,16,U,GT3,T,2,3,other,other,,father,2,1,0,no,no
196,GP,1,17,U,LE3,T,2,4,services,services,,father,1,2,0,no,no
